# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -300 ps, Average over 80 waveforms. Date: 2023-3-20
# Time [ps] 	 THz Signal [a.u.]
-286.47731158	-0.00184536
-286.44395517	-0.00156751
-286.41059876	-0.00031498
-286.37724235	-0.00032419
-286.34388594	-0.00061783
-286.31052953	-0.00187089
-286.27717312	-0.00126196
-286.24381671	-0.00110446
-286.21046030	0.00060839
-286.17710389	-0.00052538
-286.14374749	-0.00071772
-286.11039108	-0.00190687
-286.07703467	-0.00050315
-286.04367826	-0.00078404
-286.01032185	-0.00096741
-285.97696544	0.00061700
-285.94360903	-0.00084137
-285.91025262	-0.00057027
-285.87689621	-0.00131627
-285.84353980	-0.00165235
-285.81018339	-0.00122266
-285.77682698	-0.00093975
-285.74347057	-0.00107648
-285.71011416	-0.00114892
-285.67675775	-0.00188216
-285.64340134	-0.00052183
-285.61004493	-0.00146464
-285.57668852	-0.00034210
-285.54333211	-0.00199613
-285.50997570	-0.00154072
-285.47661930	-0.00182104
-285.44326289	-0.00098614
-285.40990648	-0.00076776
-285.37655007	-0.00136567
-285.34319366	-0.00139372
-285.30983725	-0.00030064
-285.27648084	-0.00037740
-285.24312443	-0.00126996
-285.20976802	-0.00082830
-285.17641161	-0.00136983
-285.14305520	-0.00194169
-285.10969879	-0.00081778
-285.07634238	-0.00085121
-285.04298597	-0.00164360
-285.00962956	-0.00085386
-284.97627315	-0.00203303
-284.94291674	-0.00145582
-284.90956033	-0.00145644
-284.87620392	-0.00111670
-284.84284751	-0.00211641
-284.80949110	-0.00054387
-284.77613470	-0.00124122
-284.74277829	-0.00037021
-284.70942188	-0.00125520
-284.67606547	-0.00146910
-284.64270906	-0.00083801
-284.60935265	-0.00087127
-284.57599624	-0.00195217
-284.54263983	-0.00060838
-284.50928342	-0.00112696
-284.47592701	-0.00144451
-284.44257060	-0.00113175
-284.40921419	-0.00112423
-284.37585778	-0.00072716
-284.34250137	-0.00061496
-284.30914496	-0.00100532
-284.27578855	-0.00138186
-284.24243214	-0.00122086
-284.20907573	-0.00027809
-284.17571932	-0.00083664
-284.14236291	-0.00070472
-284.10900650	-0.00078373
-284.07565010	-0.00151082
-284.04229369	-0.00136912
-284.00893728	-0.00121649
-283.97558087	-0.00097464
-283.94222446	-0.00166073
-283.90886805	-0.00126251
-283.87551164	-0.00143846
-283.84215523	-0.00146246
-283.80879882	-0.00168152
-283.77544241	-0.00211934
-283.74208600	-0.00084487
-283.70872959	-0.00133278
-283.67537318	-0.00146294
-283.64201677	-0.00115093
-283.60866036	-0.00057176
-283.57530395	-0.00133643
-283.54194754	-0.00178502
-283.50859113	-0.00124569
-283.47523472	-0.00192016
-283.44187831	-0.00102256
-283.40852190	-0.00233210
-283.37516550	-0.00131481
-283.34180909	-0.00136802
-283.30845268	-0.00229314
-283.27509627	-0.00144687
-283.24173986	-0.00053759
-283.20838345	-0.00207389
-283.17502704	-0.00304446
-283.14167063	-0.00185161
-283.10831422	-0.00209256
-283.07495781	-0.00089817
-283.04160140	-0.00195556
-283.00824499	-0.00240668
-282.97488858	-0.00164682
-282.94153217	-0.00224636
-282.90817576	-0.00237895
-282.87481935	-0.00091870
-282.84146294	-0.00191843
-282.80810653	-0.00178977
-282.77475012	-0.00175140
-282.74139371	-0.00305167
-282.70803730	-0.00138733
-282.67468090	-0.00277408
-282.64132449	-0.00172438
-282.60796808	-0.00180063
-282.57461167	-0.00178823
-282.54125526	-0.00196503
-282.50789885	-0.00215721
-282.47454244	-0.00159216
-282.44118603	-0.00154914
-282.40782962	-0.00258718
-282.37447321	-0.00107904
-282.34111680	-0.00305972
-282.30776039	-0.00258133
-282.27440398	-0.00299422
-282.24104757	-0.00220455
-282.20769116	-0.00182632
-282.17433475	-0.00179326
-282.14097834	-0.00199733
-282.10762193	-0.00175963
-282.07426552	-0.00141417
-282.04090911	-0.00234072
-282.00755271	-0.00263634
-281.97419630	-0.00207255
-281.94083989	-0.00193622
-281.90748348	-0.00255650
-281.87412707	-0.00132573
-281.84077066	-0.00274365
-281.80741425	-0.00301270
-281.77405784	-0.00232780
-281.74070143	-0.00272922
-281.70734502	-0.00355660
-281.67398861	-0.00148010
-281.64063220	-0.00226409
-281.60727579	-0.00324593
-281.57391938	-0.00183583
-281.54056297	-0.00345552
-281.50720656	-0.00243847
-281.47385015	-0.00219101
-281.44049374	-0.00222179
-281.40713733	-0.00206056
-281.37378092	-0.00240280
-281.34042451	-0.00210204
-281.30706811	-0.00243951
-281.27371170	-0.00263692
-281.24035529	-0.00198110
-281.20699888	-0.00096907
-281.17364247	-0.00284213
-281.14028606	-0.00275614
-281.10692965	-0.00286734
-281.07357324	-0.00247532
-281.04021683	-0.00333781
-281.00686042	-0.00281779
-280.97350401	-0.00275550
-280.94014760	-0.00260369
-280.90679119	-0.00218479
-280.87343478	-0.00357598
-280.84007837	-0.00253999
-280.80672196	-0.00271201
-280.77336555	-0.00292894
-280.74000914	-0.00226469
